ItemCode,ItemName,Category,Price,StockQty,ExpiryDate,Description
2101,Tobramycin Eye Drops,Eye/Ear,42.00,70,2027-10-15,قطرة مضاد حيوي
2102,Artificial Tears,Eye/Ear,35.00,100,2027-12-20,دموع صناعية
2301,Digital Thermometer,Device,85.00,50,2030-01-01,ميزان حرارة
2302,Blood Pressure Monitor,Device,450.00,20,2030-01-01,جهاز ضغط
2303,Glucose Meter,Device,320.00,25,2030-01-01,جهاز سكر
2401,Adhesive Bandages,First Aid,25.00,200,2030-01-01,لاصق جروح
2402,Gauze Roll,First Aid,18.00,150,2030-01-01,شاش طبي
2403,Antiseptic Wipes,First Aid,22.00,180,2029-12-01,مناديل مطهرة
2003,Cataflam 50mg,Analgesic,71.00,247,2027-12-13,Analgesic - Cataflam 50mg
2004,Celebrex 200mg,Analgesic,123.00,99,2027-05-27,Analgesic - Celebrex 200mg
2005,Arcoxia 90mg,Analgesic,153.00,275,2028-05-29,Analgesic - Arcoxia 90mg
2006,Feldene Gel,Analgesic,76.00,150,2027-11-29,Analgesic - Feldene Gel
2007,Fastum Gel,Analgesic,78.00,67,2028-08-16,Analgesic - Fastum Gel
2008,Brufen 600mg,Analgesic,45.00,169,2027-09-30,Analgesic - Brufen 600mg
2009,Panadol Advance,Analgesic,46.00,204,2028-06-09,Analgesic - Panadol Advance
2010,Solpadeine,Analgesic,52.00,215,2028-07-05,Analgesic - Solpadeine
2011,Migravent,Analgesic,116.00,275,2027-12-04,Analgesic - Migravent
2012,Zomig 2.5mg,Analgesic,226.00,284,2028-05-30,Analgesic - Zomig 2.5mg
2013,Imigran 50mg,Analgesic,282.00,114,2028-03-28,Analgesic - Imigran 50mg
2014,Voltaren 100mg,Analgesic,110.00,75,2027-11-06,Analgesic - Voltaren 100mg
2015,Mobic 15mg,Analgesic,97.00,192,2028-05-06,Analgesic - Mobic 15mg
2016,Ponstan 500mg,Analgesic,44.00,103,2028-05-14,Analgesic - Ponstan 500mg
2017,Piroxicam 20mg,Analgesic,43.00,246,2028-04-19,Analgesic - Piroxicam 20mg
2018,Indomethacin 25mg,Analgesic,54.00,177,2028-04-20,Analgesic - Indomethacin 25mg
2019,Ketorolac 10mg,Analgesic,76.00,188,2027-05-15,Analgesic - Ketorolac 10mg
2020,Nalbuphine 10mg,Analgesic,155.00,200,2028-05-04,Analgesic - Nalbuphine 10mg
2021,Zithromax 500mg,Antibiotic,117.00,120,2027-06-08,Antibiotic - Zithromax 500mg
2022,Klacid 500mg,Antibiotic,134.00,50,2028-09-01,Antibiotic - Klacid 500mg
2023,Velosef 500mg,Antibiotic,71.00,173,2027-12-15,Antibiotic - Velosef 500mg
2024,Zinnat 500mg,Antibiotic,96.00,264,2028-07-02,Antibiotic - Zinnat 500mg
2025,Flagyl 500mg,Antibiotic,43.00,272,2028-01-13,Antibiotic - Flagyl 500mg
2026,Rovamycin 3MIU,Antibiotic,175.00,298,2028-06-23,Antibiotic - Rovamycin 3MIU
2027,Dalacin C 300mg,Antibiotic,133.00,139,2027-07-18,Antibiotic - Dalacin C 300mg
2028,Erythrocin 500mg,Antibiotic,71.00,224,2028-05-29,Antibiotic - Erythrocin 500mg
2029,Suprax 400mg,Antibiotic,104.00,162,2028-07-14,Antibiotic - Suprax 400mg
2030,Tavanic 500mg,Antibiotic,143.00,261,2028-01-24,Antibiotic - Tavanic 500mg
2031,Zyvox 600mg,Antibiotic,517.00,88,2028-08-10,Antibiotic - Zyvox 600mg
2032,Amoxil 250mg,Antibiotic,42.00,207,2028-03-12,Antibiotic - Amoxil 250mg
2033,Ciprobay 500mg,Antibiotic,113.00,203,2028-03-24,Antibiotic - Ciprobay 500mg
2034,Bactrim,Antibiotic,34.00,77,2028-04-24,Antibiotic - Bactrim
2035,Septrin,Antibiotic,36.00,89,2027-12-26,Antibiotic - Septrin
2036,Unasyn 375mg,Antibiotic,96.00,171,2027-12-30,Antibiotic - Unasyn 375mg
2037,Keflex 500mg,Antibiotic,49.00,299,2028-01-22,Antibiotic - Keflex 500mg
2038,Minocin 100mg,Antibiotic,112.00,283,2028-07-04,Antibiotic - Minocin 100mg
2039,Vibramycin 100mg,Antibiotic,99.00,203,2028-07-13,Antibiotic - Vibramycin 100mg
2040,Fucidin 500mg,Antibiotic,141.00,148,2027-10-11,Antibiotic - Fucidin 500mg
2041,Vitamin A 10000IU,Vitamin,42.00,274,2027-07-19,Vitamin - Vitamin A 10000IU
2042,Vitamin E 400IU,Vitamin,56.00,294,2028-02-22,Vitamin - Vitamin E 400IU
2043,Vitamin K2,Vitamin,122.00,144,2027-12-25,Vitamin - Vitamin K2
2044,Vitamin B Complex,Vitamin,75.00,106,2027-09-18,Vitamin - Vitamin B Complex
2045,Vitamin B1 100mg,Vitamin,35.00,268,2027-06-02,Vitamin - Vitamin B1 100mg
2046,Vitamin B6 50mg,Vitamin,36.00,187,2028-04-28,Vitamin - Vitamin B6 50mg
2047,Folic Acid 400mcg,Vitamin,20.00,243,2028-08-12,Vitamin - Folic Acid 400mcg
2048,Biotin 5000mcg,Vitamin,102.00,253,2028-04-04,Vitamin - Biotin 5000mcg
2049,Collagen Peptides,Vitamin,241.00,138,2028-01-13,Vitamin - Collagen Peptides
2050,Hyaluronic Acid,Vitamin,221.00,120,2028-07-10,Vitamin - Hyaluronic Acid
2051,Glucosamine 1500mg,Vitamin,145.00,89,2028-03-07,Vitamin - Glucosamine 1500mg
2052,Chondroitin 800mg,Vitamin,215.00,215,2027-07-31,Vitamin - Chondroitin 800mg
2053,MSM 1000mg,Vitamin,123.00,283,2027-09-26,Vitamin - MSM 1000mg
2054,CoQ10 100mg,Vitamin,259.00,231,2027-06-02,Vitamin - CoQ10 100mg
2055,Alpha Lipoic Acid,Vitamin,168.00,283,2027-10-28,Vitamin - Alpha Lipoic Acid
2056,L-Carnitine 1000mg,Vitamin,159.00,300,2028-02-14,Vitamin - L-Carnitine 1000mg
2057,Probiotics 10B,Vitamin,124.00,273,2027-08-11,Vitamin - Probiotics 10B
2058,Prebiotic Fiber,Vitamin,83.00,219,2027-05-25,Vitamin - Prebiotic Fiber
2059,Selenium 200mcg,Vitamin,53.00,209,2028-03-20,Vitamin - Selenium 200mcg
2060,Chromium Picolinate,Vitamin,61.00,188,2027-12-17,Vitamin - Chromium Picolinate
2061,Iodine 150mcg,Vitamin,42.00,224,2027-09-24,Vitamin - Iodine 150mcg
2062,Manganese 5mg,Vitamin,38.00,164,2028-07-24,Vitamin - Manganese 5mg
2063,Copper 2mg,Vitamin,39.00,276,2028-05-20,Vitamin - Copper 2mg
2064,Boron 3mg,Vitamin,50.00,151,2028-02-22,Vitamin - Boron 3mg
2065,Molybdenum 100mcg,Vitamin,61.00,245,2028-02-13,Vitamin - Molybdenum 100mcg
2066,Losec 20mg,Gastrointestinal,96.00,94,2028-04-17,Gastrointestinal - Losec 20mg
2067,Pariet 20mg,Gastrointestinal,134.00,231,2027-08-30,Gastrointestinal - Pariet 20mg
2068,Controloc 40mg,Gastrointestinal,146.00,271,2028-02-28,Gastrointestinal - Controloc 40mg
2069,Zantac 150mg,Gastrointestinal,32.00,277,2027-09-23,Gastrointestinal - Zantac 150mg
2070,Gaviscon Advance,Gastrointestinal,52.00,128,2028-01-10,Gastrointestinal - Gaviscon Advance
2071,Maalox Plus,Gastrointestinal,47.00,62,2028-02-06,Gastrointestinal - Maalox Plus
2072,Mucaine Gel,Gastrointestinal,53.00,199,2027-12-01,Gastrointestinal - Mucaine Gel
2073,Colofac 135mg,Gastrointestinal,85.00,157,2028-01-18,Gastrointestinal - Colofac 135mg
2074,Debridat 100mg,Gastrointestinal,81.00,234,2027-10-07,Gastrointestinal - Debridat 100mg
2075,Motilium 10mg,Gastrointestinal,46.00,104,2027-10-12,Gastrointestinal - Motilium 10mg
2076,Primperan 10mg,Gastrointestinal,35.00,170,2028-01-06,Gastrointestinal - Primperan 10mg
2077,Zofran 8mg,Gastrointestinal,176.00,183,2028-06-11,Gastrointestinal - Zofran 8mg
2078,Duspatalin 200mg,Gastrointestinal,125.00,154,2028-05-17,Gastrointestinal - Duspatalin 200mg
2079,Iberogast,Gastrointestinal,131.00,267,2027-08-05,Gastrointestinal - Iberogast
2080,Duphalac,Gastrointestinal,56.00,194,2027-07-20,Gastrointestinal - Duphalac
2081,Fybogel,Gastrointestinal,56.00,297,2028-07-06,Gastrointestinal - Fybogel
2082,Movicol,Gastrointestinal,69.00,300,2028-01-18,Gastrointestinal - Movicol
2083,Prepulsid 10mg,Gastrointestinal,103.00,194,2027-08-04,Gastrointestinal - Prepulsid 10mg
2084,Librax,Gastrointestinal,91.00,250,2027-09-19,Gastrointestinal - Librax
2085,Buscopan Plus,Gastrointestinal,37.00,63,2027-09-09,Gastrointestinal - Buscopan Plus
2086,Norvasc 5mg,Cardiovascular,82.00,201,2027-10-10,Cardiovascular - Norvasc 5mg
2087,Zestril 10mg,Cardiovascular,66.00,270,2028-05-04,Cardiovascular - Zestril 10mg
2088,Cozaar 50mg,Cardiovascular,104.00,79,2027-10-11,Cardiovascular - Cozaar 50mg
2089,Diovan 80mg,Cardiovascular,140.00,168,2027-05-26,Cardiovascular - Diovan 80mg
2090,Micardis 40mg,Cardiovascular,145.00,101,2028-04-22,Cardiovascular - Micardis 40mg
2091,Aprovel 150mg,Cardiovascular,203.00,146,2028-02-13,Cardiovascular - Aprovel 150mg
2092,Tenormin 50mg,Cardiovascular,55.00,251,2027-08-28,Cardiovascular - Tenormin 50mg
2093,Lopressor 50mg,Cardiovascular,73.00,216,2028-08-10,Cardiovascular - Lopressor 50mg
2094,Zebeta 5mg,Cardiovascular,62.00,141,2028-04-18,Cardiovascular - Zebeta 5mg
2095,Crestor 10mg,Cardiovascular,231.00,118,2028-08-12,Cardiovascular - Crestor 10mg
2096,Lipitor 20mg,Cardiovascular,95.00,160,2027-11-26,Cardiovascular - Lipitor 20mg
2097,Zocor 20mg,Cardiovascular,97.00,148,2028-05-02,Cardiovascular - Zocor 20mg
2098,Pravachol 20mg,Cardiovascular,104.00,288,2027-07-27,Cardiovascular - Pravachol 20mg
2099,Plavix 75mg,Cardiovascular,170.00,171,2027-08-01,Cardiovascular - Plavix 75mg
2100,Efient 10mg,Cardiovascular,197.00,146,2028-03-23,Cardiovascular - Efient 10mg
2103,Tambocor 100mg,Cardiovascular,172.00,192,2027-08-15,Cardiovascular - Tambocor 100mg
2104,Aldactone 25mg,Cardiovascular,85.00,280,2027-09-07,Cardiovascular - Aldactone 25mg
2105,Lasix 40mg,Cardiovascular,40.00,300,2027-12-08,Cardiovascular - Lasix 40mg
2106,Capoten 25mg,Cardiovascular,57.00,188,2027-06-10,Cardiovascular - Capoten 25mg
2107,Renitec 10mg,Cardiovascular,72.00,87,2028-01-22,Cardiovascular - Renitec 10mg
2108,Tritace 5mg,Cardiovascular,85.00,150,2028-02-26,Cardiovascular - Tritace 5mg
2109,Adalat 30mg,Cardiovascular,76.00,233,2027-09-27,Cardiovascular - Adalat 30mg
2110,Isoptin 80mg,Cardiovascular,79.00,121,2028-01-15,Cardiovascular - Isoptin 80mg
2111,Glucophage 850mg,Diabetes,61.00,118,2028-01-05,Diabetes - Glucophage 850mg
2112,Amaryl 2mg,Diabetes,73.00,286,2027-12-22,Diabetes - Amaryl 2mg
2113,Diamicron MR 60mg,Diabetes,94.00,276,2028-02-12,Diabetes - Diamicron MR 60mg
2114,Novonorm 2mg,Diabetes,190.00,198,2028-08-23,Diabetes - Novonorm 2mg
2115,Actos 30mg,Diabetes,209.00,277,2028-03-26,Diabetes - Actos 30mg
2116,Galvus 50mg,Diabetes,294.00,209,2028-08-06,Diabetes - Galvus 50mg
2117,Janumet 50/1000,Diabetes,370.00,151,2027-09-24,Diabetes - Janumet 50/1000
2118,Forxiga 10mg,Diabetes,233.00,119,2027-10-24,Diabetes - Forxiga 10mg
2119,Jardiance 25mg,Diabetes,348.00,216,2028-01-16,Diabetes - Jardiance 25mg
2120,Lantus SoloStar,Diabetes,321.00,282,2027-07-01,Diabetes - Lantus SoloStar
2121,NovoRapid FlexPen,Diabetes,410.00,161,2028-01-16,Diabetes - NovoRapid FlexPen
2122,Humalog KwikPen,Diabetes,436.00,80,2028-02-11,Diabetes - Humalog KwikPen
2123,Symbicort 160/4.5,Respiratory,389.00,264,2028-03-28,Respiratory - Symbicort 160/4.5
2124,Seretide 250,Respiratory,386.00,237,2027-09-16,Respiratory - Seretide 250
2125,Singulair 5mg,Respiratory,133.00,130,2028-04-25,Respiratory - Singulair 5mg
2126,Accolate 20mg,Respiratory,197.00,99,2027-12-25,Respiratory - Accolate 20mg
2127,Atrovent Inhaler,Respiratory,115.00,149,2028-02-11,Respiratory - Atrovent Inhaler
2128,Spiriva Respimat,Respiratory,551.00,115,2028-08-08,Respiratory - Spiriva Respimat
2129,Bricanyl Turbuhaler,Respiratory,171.00,151,2027-09-28,Respiratory - Bricanyl Turbuhaler
2130,Berodual Inhaler,Respiratory,127.00,99,2028-06-09,Respiratory - Berodual Inhaler
2131,Pulmicort Respules,Respiratory,171.00,241,2027-05-23,Respiratory - Pulmicort Respules
2132,Flixotide Evohaler,Respiratory,200.00,56,2027-12-09,Respiratory - Flixotide Evohaler
2133,Serevent Diskus,Respiratory,241.00,295,2027-12-02,Respiratory - Serevent Diskus
2134,Combivent,Respiratory,163.00,217,2028-07-03,Respiratory - Combivent
2135,Theo-Dur,Respiratory,97.00,228,2028-01-20,Respiratory - Theo-Dur
2136,Zaditen,Respiratory,99.00,51,2028-07-10,Respiratory - Zaditen
2137,Ketotifen 1mg,Respiratory,77.00,125,2028-05-07,Respiratory - Ketotifen 1mg
2138,Claritin 10mg,Antihistamine,70.00,183,2028-03-19,Antihistamine - Claritin 10mg
2139,Zyrtec 10mg,Antihistamine,65.00,168,2027-12-29,Antihistamine - Zyrtec 10mg
2140,Allegra 120mg,Antihistamine,73.00,50,2028-05-03,Antihistamine - Allegra 120mg
2141,Telfast 180mg,Antihistamine,118.00,55,2027-11-27,Antihistamine - Telfast 180mg
2142,Aerius 5mg,Antihistamine,92.00,168,2027-09-24,Antihistamine - Aerius 5mg
2143,Xyzal 5mg,Antihistamine,89.00,217,2027-08-06,Antihistamine - Xyzal 5mg
2144,Benadryl 25mg,Antihistamine,24.00,298,2028-01-09,Antihistamine - Benadryl 25mg
2145,Atarax 25mg,Antihistamine,56.00,287,2028-07-03,Antihistamine - Atarax 25mg
2146,Phenergan 25mg,Antihistamine,42.00,141,2027-05-22,Antihistamine - Phenergan 25mg
2147,Nasonex Spray,Antihistamine,132.00,218,2028-08-18,Antihistamine - Nasonex Spray
2148,Flixonase Spray,Antihistamine,124.00,263,2027-11-25,Antihistamine - Flixonase Spray
2149,Rhinocort Aqua,Antihistamine,147.00,270,2028-08-21,Antihistamine - Rhinocort Aqua
2150,Panadol Cold & Flu,OTC,37.00,98,2027-12-03,OTC - Panadol Cold & Flu
2151,Theraflu,OTC,65.00,90,2028-08-21,OTC - Theraflu
2152,Coldrex,OTC,43.00,132,2027-05-17,OTC - Coldrex
2153,Otrivin Nasal Spray,OTC,79.00,155,2028-02-12,OTC - Otrivin Nasal Spray
2154,Vicks VapoRub,OTC,59.00,222,2027-09-14,OTC - Vicks VapoRub
2155,Strepsils,OTC,30.00,115,2028-06-13,OTC - Strepsils
2156,Septolete,OTC,32.00,122,2027-07-24,OTC - Septolete
2157,Sinutab,OTC,70.00,148,2028-03-01,OTC - Sinutab
2158,Actifed,OTC,40.00,240,2027-11-25,OTC - Actifed
2159,Rhinathiol,OTC,67.00,293,2028-08-23,OTC - Rhinathiol
2160,Lamisil Cream,Topical,86.00,244,2027-07-02,Topical - Lamisil Cream
2161,Canesten Cream,Topical,85.00,287,2027-11-16,Topical - Canesten Cream
2162,Daktarin Cream,Topical,98.00,265,2027-07-12,Topical - Daktarin Cream
2163,Fucidin Cream,Topical,132.00,213,2027-07-06,Topical - Fucidin Cream
2164,Bactroban Ointment,Topical,160.00,62,2028-01-03,Topical - Bactroban Ointment
2165,Elocon Cream,Topical,136.00,136,2028-03-30,Topical - Elocon Cream
2166,Dermovate Cream,Topical,165.00,252,2028-04-16,Topical - Dermovate Cream
2167,Locoid Cream,Topical,106.00,262,2027-08-28,Topical - Locoid Cream
2168,Diproson Cream,Topical,107.00,214,2028-04-25,Topical - Diproson Cream
2169,Protopic Ointment,Topical,400.00,278,2028-02-10,Topical - Protopic Ointment
2170,Acnelyse Cream,Topical,95.00,181,2027-07-26,Topical - Acnelyse Cream
2171,Differin Gel,Topical,158.00,293,2028-01-10,Topical - Differin Gel
2172,Benzac 5% Gel,Topical,57.00,173,2027-06-03,Topical - Benzac 5% Gel
2173,Skinoren Cream,Topical,126.00,216,2028-05-02,Topical - Skinoren Cream
2174,Soolantra Cream,Topical,227.00,159,2027-10-04,Topical - Soolantra Cream
2175,Aldara Cream,Topical,334.00,160,2028-01-30,Topical - Aldara Cream
2176,Silkis Ointment,Topical,245.00,82,2027-11-06,Topical - Silkis Ointment
2177,Zovirax Cream,Topical,113.00,136,2028-02-19,Topical - Zovirax Cream
2178,Fenistil Gel,Topical,59.00,246,2027-06-27,Topical - Fenistil Gel
2179,Calmurid Cream,Topical,89.00,138,2027-10-30,Topical - Calmurid Cream
2180,La Roche-Posay Effaclar,Cosmetic,278.00,286,2027-10-30,Cosmetic - La Roche-Posay Effaclar
2181,Vichy Normaderm,Cosmetic,317.00,190,2027-08-18,Cosmetic - Vichy Normaderm
2182,Bioderma Sensibio,Cosmetic,225.00,220,2027-12-26,Cosmetic - Bioderma Sensibio
2183,Avene Cicalfate,Cosmetic,237.00,58,2028-01-08,Cosmetic - Avene Cicalfate
2184,Eucerin Anti-Age,Cosmetic,250.00,156,2027-12-25,Cosmetic - Eucerin Anti-Age
2185,Nivea Soft,Cosmetic,76.00,148,2028-04-20,Cosmetic - Nivea Soft
2186,Cetaphil Cleanser,Cosmetic,162.00,163,2028-06-25,Cosmetic - Cetaphil Cleanser
2187,CeraVe Moisturizer,Cosmetic,170.00,92,2028-03-14,Cosmetic - CeraVe Moisturizer
2188,The Ordinary Niacinamide,Cosmetic,199.00,116,2027-08-04,Cosmetic - The Ordinary Niacinamide
2189,The Ordinary Hyaluronic,Cosmetic,134.00,56,2027-10-25,Cosmetic - The Ordinary Hyaluronic
2190,The Ordinary Retinol,Cosmetic,152.00,156,2027-07-04,Cosmetic - The Ordinary Retinol
2191,Neutrogena Hydro Boost,Cosmetic,192.00,101,2027-07-20,Cosmetic - Neutrogena Hydro Boost
2192,Loreal Revitalift,Cosmetic,185.00,119,2027-12-02,Cosmetic - Loreal Revitalift
2193,Olay Regenerist,Cosmetic,289.00,263,2028-08-20,Cosmetic - Olay Regenerist
2194,Garnier Micellar Water,Cosmetic,106.00,257,2027-08-18,Cosmetic - Garnier Micellar Water
2195,Systane Ultra,Eye/Ear,114.00,230,2027-07-26,Eye/Ear - Systane Ultra
2196,Refresh Plus,Eye/Ear,128.00,180,2028-02-07,Eye/Ear - Refresh Plus
2197,Visine Eye Drops,Eye/Ear,61.00,101,2028-03-25,Eye/Ear - Visine Eye Drops
2198,Maxitrol Eye Drops,Eye/Ear,106.00,180,2027-10-11,Eye/Ear - Maxitrol Eye Drops
2199,Tobradex Eye Drops,Eye/Ear,159.00,249,2028-03-01,Eye/Ear - Tobradex Eye Drops
2200,Xalatan Eye Drops,Eye/Ear,360.00,97,2027-10-08,Eye/Ear - Xalatan Eye Drops
2201,Timoptic Eye Drops,Eye/Ear,238.00,177,2028-06-17,Eye/Ear - Timoptic Eye Drops
2202,Ciprofloxacin Ear Drops,Eye/Ear,85.00,141,2027-06-30,Eye/Ear - Ciprofloxacin Ear Drops
2203,Candibiotic Ear Drops,Eye/Ear,104.00,273,2027-10-17,Eye/Ear - Candibiotic Ear Drops
2204,Otosporin Ear Drops,Eye/Ear,92.00,226,2028-02-04,Eye/Ear - Otosporin Ear Drops
2205,Polydexa Ear Drops,Eye/Ear,115.00,299,2028-03-17,Eye/Ear - Polydexa Ear Drops
2206,Sofradex Eye Drops,Eye/Ear,156.00,178,2028-01-21,Eye/Ear - Sofradex Eye Drops
2207,Listerine Mouthwash,OTC,85.00,198,2028-03-22,OTC - Listerine Mouthwash
2208,Sensodyne Toothpaste,OTC,88.00,250,2027-11-18,OTC - Sensodyne Toothpaste
2209,Colgate Total,OTC,47.00,100,2027-12-09,OTC - Colgate Total
2210,Oral-B Mouthwash,OTC,110.00,128,2028-03-29,OTC - Oral-B Mouthwash
2211,Corsodyl Mouthwash,OTC,106.00,115,2028-02-10,OTC - Corsodyl Mouthwash
2212,Bonjela Gel,OTC,65.00,139,2028-06-13,OTC - Bonjela Gel
2213,Dentyl Mouthwash,OTC,58.00,291,2028-03-24,OTC - Dentyl Mouthwash
2214,Tongue Cleaner,OTC,25.00,88,2028-05-14,OTC - Tongue Cleaner
2215,Omron BP Monitor,Device,941.00,161,2027-08-06,Device - Omron BP Monitor
2216,Accu-Chek Glucose Meter,Device,515.00,190,2027-08-14,Device - Accu-Chek Glucose Meter
2217,Omron Nebulizer,Device,1248.00,198,2028-07-06,Device - Omron Nebulizer
2218,Pulse Oximeter Pro,Device,289.00,202,2028-04-19,Device - Pulse Oximeter Pro
2219,Digital Thermometer,Device,111.00,97,2028-02-12,Device - Digital Thermometer
2220,Infrared Thermometer,Device,312.00,130,2027-05-20,Device - Infrared Thermometer
2221,Ear Thermometer,Device,473.00,175,2028-01-18,Device - Ear Thermometer
2222,Stethoscope Pro,Device,477.00,128,2028-04-16,Device - Stethoscope Pro
2223,Nebulizer Mask,Device,50.00,255,2028-06-25,Device - Nebulizer Mask
2224,Blood Glucose Strips,Device,251.00,265,2028-01-02,Device - Blood Glucose Strips
2225,BP Cuff Pediatric,Device,190.00,112,2027-09-28,Device - BP Cuff Pediatric
2226,Nebulizer Kit,Device,123.00,177,2028-03-14,Device - Nebulizer Kit
2227,First Aid Kit Complete,First Aid,447.00,273,2027-08-14,First Aid - First Aid Kit Complete
2228,Elastic Bandage,First Aid,33.00,269,2028-07-31,First Aid - Elastic Bandage
2229,Triangular Bandage,First Aid,42.00,151,2027-09-29,First Aid - Triangular Bandage
2230,Cotton Wool,First Aid,24.00,100,2028-04-14,First Aid - Cotton Wool
2231,Medical Scissors,First Aid,70.00,78,2027-10-03,First Aid - Medical Scissors
2232,Tweezers,First Aid,49.00,261,2027-11-23,First Aid - Tweezers
2233,Instant Cold Pack,First Aid,48.00,128,2027-09-04,First Aid - Instant Cold Pack
2234,Hot Water Bag,First Aid,78.00,82,2027-12-17,First Aid - Hot Water Bag
2235,Povidone Iodine,First Aid,57.00,175,2028-08-28,First Aid - Povidone Iodine
2236,Hydrogen Peroxide,First Aid,45.00,51,2028-09-02,First Aid - Hydrogen Peroxide
5001,Panadol 40mg,Analgesic,50.00,283,2027-06-26,Analgesic - Panadol
5002,Adol 1g (20 tabs),Analgesic,18.00,113,2027-06-26,Analgesic - Adol
5003,Panadol Extra 100mg (cream 30g),Analgesic,45.00,223,2028-05-11,Analgesic - Panadol Extra
