═══════════════════════════════════════════════════════════
  COMPLETE DATABASE SCHEMA
═══════════════════════════════════════════════════════════
       table_name        |       column_name       |        data_type         | max_len | is_nullable |               column_default               
 daily_metrics           | id                      | bigint                   |         | NO          | nextval('daily_metrics_id_seq'::regclass)
 daily_metrics           | date                    | date                     |         | NO          | 
 daily_metrics           | total_pharmacies        | integer                  |         | YES         | 0
 daily_metrics           | active_pharmacies       | integer                  |         | YES         | 0
 daily_metrics           | total_users             | integer                  |         | YES         | 0
 daily_metrics           | total_messages          | bigint                   |         | YES         | 0
 daily_metrics           | total_whatsapp_numbers  | integer                  |         | YES         | 0
 daily_metrics           | revenue_egp             | numeric                  |         | YES         | 0
 daily_metrics           | created_at              | timestamp with time zone |         | YES         | now()
 daily_metrics           | updated_at              | timestamp with time zone |         | YES         | now()
 feature_flags           | id                      | uuid                     |         | NO          | gen_random_uuid()
 feature_flags           | key                     | character varying        |     100 | NO          | 
 feature_flags           | name                    | character varying        |     200 | NO          | 
 feature_flags           | description             | text                     |         | YES         | 
 feature_flags           | is_enabled              | boolean                  |         | YES         | false
 feature_flags           | rollout_percentage      | integer                  |         | YES         | 0
 feature_flags           | allowed_pharmacies      | jsonb                    |         | YES         | '[]'::jsonb
 feature_flags           | created_at              | timestamp with time zone |         | YES         | now()
 feature_flags           | updated_at              | timestamp with time zone |         | YES         | now()
 invoices                | id                      | uuid                     |         | NO          | gen_random_uuid()
 invoices                | pharmacy_id             | character varying        |      36 | NO          | 
 invoices                | subscription_id         | uuid                     |         | YES         | 
 invoices                | invoice_number          | character varying        |      50 | NO          | 
 invoices                | amount                  | numeric                  |         | NO          | 
 invoices                | currency                | character varying        |       3 | YES         | 'EGP'::character varying
 invoices                | status                  | character varying        |      20 | NO          | 'pending'::character varying
 invoices                | due_date                | date                     |         | YES         | 
 invoices                | paid_at                 | timestamp with time zone |         | YES         | 
 invoices                | payment_method          | character varying        |      50 | YES         | 
 invoices                | notes                   | text                     |         | YES         | 
 invoices                | created_at              | timestamp with time zone |         | YES         | now()
 invoices                | updated_at              | timestamp with time zone |         | YES         | now()
 messages                | id                      | character varying        |      36 | NO          | 
 messages                | whatsapp_id             | character varying        |     100 | YES         | 
 messages                | from_phone              | character varying        |      20 | NO          | 
 messages                | from_name               | character varying        |     100 | YES         | 
 messages                | to_phone                | character varying        |      20 | YES         | 
 messages                | content                 | text                     |         | NO          | 
 messages                | media_url               | character varying        |     500 | YES         | 
 messages                | media_type              | character varying        |      30 | YES         | 
 messages                | direction               | character varying        |      10 | NO          | 
 messages                | classification          | character varying        |      30 | YES         | 
 messages                | priority                | character varying        |      20 | YES         | 
 messages                | processed               | boolean                  |         | NO          | 
 messages                | processed_at            | timestamp with time zone |         | YES         | 
 messages                | chatbot_response        | text                     |         | YES         | 
 messages                | handler                 | character varying        |      50 | YES         | 
 messages                | meta_data               | jsonb                    |         | YES         | 
 messages                | received_at             | timestamp with time zone |         | YES         | now()
 messages                | created_at              | timestamp with time zone |         | YES         | now()
 messages                | updated_at              | timestamp with time zone |         | NO          | now()
 messages                | pharmacy_id             | character varying        |      36 | YES         | 
 notifications           | id                      | uuid                     |         | NO          | gen_random_uuid()
 notifications           | pharmacy_id             | character varying        |      36 | YES         | 
 notifications           | user_id                 | character varying        |      36 | YES         | 
 notifications           | type                    | character varying        |      50 | NO          | 
 notifications           | title                   | character varying        |     200 | NO          | 
 notifications           | message                 | text                     |         | YES         | 
 notifications           | data                    | jsonb                    |         | YES         | '{}'::jsonb
 notifications           | priority                | character varying        |      20 | YES         | 'normal'::character varying
 notifications           | is_read                 | boolean                  |         | YES         | false
 notifications           | read_at                 | timestamp with time zone |         | YES         | 
 notifications           | created_at              | timestamp with time zone |         | YES         | now()
 pg_stat_statements      | userid                  | oid                      |         | YES         | 
 pg_stat_statements      | dbid                    | oid                      |         | YES         | 
 pg_stat_statements      | toplevel                | boolean                  |         | YES         | 
 pg_stat_statements      | queryid                 | bigint                   |         | YES         | 
 pg_stat_statements      | query                   | text                     |         | YES         | 
 pg_stat_statements      | plans                   | bigint                   |         | YES         | 
 pg_stat_statements      | total_plan_time         | double precision         |         | YES         | 
 pg_stat_statements      | min_plan_time           | double precision         |         | YES         | 
 pg_stat_statements      | max_plan_time           | double precision         |         | YES         | 
 pg_stat_statements      | mean_plan_time          | double precision         |         | YES         | 
 pg_stat_statements      | stddev_plan_time        | double precision         |         | YES         | 
 pg_stat_statements      | calls                   | bigint                   |         | YES         | 
 pg_stat_statements      | total_exec_time         | double precision         |         | YES         | 
 pg_stat_statements      | min_exec_time           | double precision         |         | YES         | 
 pg_stat_statements      | max_exec_time           | double precision         |         | YES         | 
 pg_stat_statements      | mean_exec_time          | double precision         |         | YES         | 
 pg_stat_statements      | stddev_exec_time        | double precision         |         | YES         | 
 pg_stat_statements      | rows                    | bigint                   |         | YES         | 
 pg_stat_statements      | shared_blks_hit         | bigint                   |         | YES         | 
 pg_stat_statements      | shared_blks_read        | bigint                   |         | YES         | 
 pg_stat_statements      | shared_blks_dirtied     | bigint                   |         | YES         | 
 pg_stat_statements      | shared_blks_written     | bigint                   |         | YES         | 
 pg_stat_statements      | local_blks_hit          | bigint                   |         | YES         | 
 pg_stat_statements      | local_blks_read         | bigint                   |         | YES         | 
 pg_stat_statements      | local_blks_dirtied      | bigint                   |         | YES         | 
 pg_stat_statements      | local_blks_written      | bigint                   |         | YES         | 
 pg_stat_statements      | temp_blks_read          | bigint                   |         | YES         | 
 pg_stat_statements      | temp_blks_written       | bigint                   |         | YES         | 
 pg_stat_statements      | shared_blk_read_time    | double precision         |         | YES         | 
 pg_stat_statements      | shared_blk_write_time   | double precision         |         | YES         | 
 pg_stat_statements      | local_blk_read_time     | double precision         |         | YES         | 
 pg_stat_statements      | local_blk_write_time    | double precision         |         | YES         | 
 pg_stat_statements      | temp_blk_read_time      | double precision         |         | YES         | 
 pg_stat_statements      | temp_blk_write_time     | double precision         |         | YES         | 
 pg_stat_statements      | wal_records             | bigint                   |         | YES         | 
 pg_stat_statements      | wal_fpi                 | bigint                   |         | YES         | 
 pg_stat_statements      | wal_bytes               | numeric                  |         | YES         | 
 pg_stat_statements      | jit_functions           | bigint                   |         | YES         | 
 pg_stat_statements      | jit_generation_time     | double precision         |         | YES         | 
 pg_stat_statements      | jit_inlining_count      | bigint                   |         | YES         | 
 pg_stat_statements      | jit_inlining_time       | double precision         |         | YES         | 
 pg_stat_statements      | jit_optimization_count  | bigint                   |         | YES         | 
 pg_stat_statements      | jit_optimization_time   | double precision         |         | YES         | 
 pg_stat_statements      | jit_emission_count      | bigint                   |         | YES         | 
 pg_stat_statements      | jit_emission_time       | double precision         |         | YES         | 
 pg_stat_statements      | jit_deform_count        | bigint                   |         | YES         | 
 pg_stat_statements      | jit_deform_time         | double precision         |         | YES         | 
 pg_stat_statements      | stats_since             | timestamp with time zone |         | YES         | 
 pg_stat_statements      | minmax_stats_since      | timestamp with time zone |         | YES         | 
 pg_stat_statements_info | dealloc                 | bigint                   |         | YES         | 
 pg_stat_statements_info | stats_reset             | timestamp with time zone |         | YES         | 
 pharmacies              | id                      | character varying        |      36 | NO          | 
 pharmacies              | name                    | character varying        |     200 | NO          | 
 pharmacies              | name_ar                 | character varying        |     200 | YES         | 
 pharmacies              | owner_id                | character varying        |      36 | YES         | 
 pharmacies              | address                 | text                     |         | YES         | 
 pharmacies              | city                    | character varying        |     100 | YES         | 
 pharmacies              | phone                   | character varying        |      20 | YES         | 
 pharmacies              | email                   | character varying        |     100 | YES         | 
 pharmacies              | logo_url                | character varying        |     500 | YES         | 
 pharmacies              | subscription_plan       | character varying        |      50 | YES         | 'basic'::character varying
 pharmacies              | subscription_expires_at | timestamp with time zone |         | YES         | 
 pharmacies              | is_active               | boolean                  |         | YES         | true
 pharmacies              | settings                | jsonb                    |         | YES         | '{}'::jsonb
 pharmacies              | created_at              | timestamp with time zone |         | YES         | now()
 pharmacies              | updated_at              | timestamp with time zone |         | YES         | now()
 products                | id                      | integer                  |         | NO          | nextval('products_id_seq'::regclass)
 products                | item_code               | character varying        |      20 | NO          | 
 products                | name                    | character varying        |     200 | NO          | 
 products                | category                | character varying        |      50 | NO          | 
 products                | price                   | double precision         |         | NO          | 
 products                | stock_qty               | integer                  |         | NO          | 
 products                | expiry_date             | character varying        |      20 | NO          | 
 products                | description             | text                     |         | NO          | 
 products                | created_at              | timestamp with time zone |         | NO          | now()
 products                | updated_at              | timestamp with time zone |         | NO          | now()
 products                | pharmacy_id             | character varying        |      36 | YES         | 
 reports                 | id                      | character varying        |      36 | NO          | 
 reports                 | message_id              | character varying        |      36 | YES         | 
 reports                 | type                    | character varying        |      50 | NO          | 
 reports                 | category                | character varying        |      50 | YES         | 
 reports                 | priority                | character varying        |      20 | NO          | 
 reports                 | title                   | character varying        |     200 | NO          | 
 reports                 | summary                 | text                     |         | YES         | 
 reports                 | content                 | jsonb                    |         | NO          | 
 reports                 | assigned_to             | character varying        |      36 | YES         | 
 reports                 | assigned_at             | timestamp with time zone |         | YES         | 
 reports                 | status                  | character varying        |      20 | NO          | 
 reports                 | sla_deadline            | timestamp with time zone |         | YES         | 
 reports                 | escalated_at            | timestamp with time zone |         | YES         | 
 reports                 | escalation_reason       | character varying        |     200 | YES         | 
 reports                 | resolved_at             | timestamp with time zone |         | YES         | 
 reports                 | resolution_notes        | text                     |         | YES         | 
 reports                 | resolved_by             | character varying        |      36 | YES         | 
 reports                 | response_time_seconds   | integer                  |         | YES         | 
 reports                 | resolution_time_seconds | integer                  |         | YES         | 
 reports                 | created_at              | timestamp with time zone |         | YES         | now()
 reports                 | updated_at              | timestamp with time zone |         | YES         | 
 reports                 | pharmacy_id             | character varying        |      36 | YES         | 
 sessions_enhanced       | id                      | uuid                     |         | NO          | gen_random_uuid()
 sessions_enhanced       | user_id                 | character varying        |      36 | NO          | 
 sessions_enhanced       | pharmacy_id             | character varying        |      36 | YES         | 
 sessions_enhanced       | token_hash              | character varying        |     255 | NO          | 
 sessions_enhanced       | device_info             | jsonb                    |         | YES         | '{}'::jsonb
 sessions_enhanced       | ip_address              | character varying        |      45 | YES         | 
 sessions_enhanced       | is_active               | boolean                  |         | YES         | true
 sessions_enhanced       | expires_at              | timestamp with time zone |         | NO          | 
 sessions_enhanced       | last_activity_at        | timestamp with time zone |         | YES         | now()
 sessions_enhanced       | created_at              | timestamp with time zone |         | YES         | now()
 subscriptions           | id                      | uuid                     |         | NO          | gen_random_uuid()
 subscriptions           | pharmacy_id             | character varying        |      36 | NO          | 
 subscriptions           | plan                    | character varying        |      50 | NO          | 'basic'::character varying
 subscriptions           | status                  | character varying        |      20 | NO          | 'active'::character varying
 subscriptions           | price_monthly           | numeric                  |         | YES         | 0
 subscriptions           | currency                | character varying        |       3 | YES         | 'EGP'::character varying
 subscriptions           | started_at              | timestamp with time zone |         | YES         | now()
 subscriptions           | expires_at              | timestamp with time zone |         | YES         | 
 subscriptions           | cancelled_at            | timestamp with time zone |         | YES         | 
 subscriptions           | auto_renew              | boolean                  |         | YES         | true
 subscriptions           | created_at              | timestamp with time zone |         | YES         | now()
 subscriptions           | updated_at              | timestamp with time zone |         | YES         | now()
 team_members            | id                      | character varying        |      36 | NO          | 
 team_members            | name                    | character varying        |     100 | NO          | 
 team_members            | name_ar                 | character varying        |     100 | YES         | 
 team_members            | phone                   | character varying        |      20 | NO          | 
 team_members            | email                   | character varying        |     120 | YES         | 
 team_members            | role                    | character varying        |      30 | NO          | 
 team_members            | specialties             | jsonb                    |         | YES         | 
 team_members            | shift                   | character varying        |      20 | NO          | 
 team_members            | is_active               | boolean                  |         | NO          | 
 team_members            | is_available            | boolean                  |         | NO          | 
 team_members            | max_concurrent          | integer                  |         | NO          | 
 team_members            | current_load            | integer                  |         | NO          | 
 team_members            | languages               | jsonb                    |         | YES         | 
 team_members            | whatsapp_enabled        | boolean                  |         | YES         | 
 team_members            | created_at              | timestamp with time zone |         | YES         | now()
 team_members            | updated_at              | timestamp with time zone |         | YES         | 
 team_members            | last_active_at          | timestamp with time zone |         | YES         | 
 team_members            | pharmacy_id             | character varying        |      36 | YES         | 
 usage_stats             | id                      | bigint                   |         | NO          | nextval('usage_stats_id_seq'::regclass)
 usage_stats             | pharmacy_id             | character varying        |      36 | YES         | 
 usage_stats             | date                    | date                     |         | NO          | 
 usage_stats             | messages_sent           | integer                  |         | YES         | 0
 usage_stats             | messages_received       | integer                  |         | YES         | 0
 usage_stats             | ai_responses            | integer                  |         | YES         | 0
 usage_stats             | tokens_used             | bigint                   |         | YES         | 0
 usage_stats             | api_calls               | integer                  |         | YES         | 0
 usage_stats             | unique_customers        | integer                  |         | YES         | 0
 usage_stats             | avg_response_time_ms    | integer                  |         | YES         | 0
 usage_stats             | created_at              | timestamp with time zone |         | YES         | now()
 users                   | id                      | character varying        |      36 | NO          | 
 users                   | username                | character varying        |      50 | NO          | 
 users                   | email                   | character varying        |     100 | YES         | 
 users                   | phone                   | character varying        |      20 | YES         | 
 users                   | full_name               | character varying        |     100 | NO          | 
 users                   | role                    | character varying        |      20 | NO          | 
 users                   | hashed_password         | character varying        |     255 | NO          | 
 users                   | is_active               | boolean                  |         | NO          | 
 users                   | is_verified             | boolean                  |         | NO          | 
 users                   | created_at              | timestamp with time zone |         | NO          | now()
 users                   | updated_at              | timestamp with time zone |         | NO          | now()
 whatsapp_numbers        | id                      | character varying        |      36 | NO          | 
 whatsapp_numbers        | pharmacy_id             | character varying        |      36 | NO          | 
 whatsapp_numbers        | phone_number            | character varying        |      20 | NO          | 
 whatsapp_numbers        | display_name            | character varying        |     100 | YES         | 
 whatsapp_numbers        | mode                    | character varying        |      20 | YES         | 'link'::character varying
 whatsapp_numbers        | is_active               | boolean                  |         | YES         | true
 whatsapp_numbers        | is_primary              | boolean                  |         | YES         | false
 whatsapp_numbers        | session_data            | jsonb                    |         | YES         | 
 whatsapp_numbers        | last_connected_at       | timestamp with time zone |         | YES         | 
 whatsapp_numbers        | created_at              | timestamp with time zone |         | YES         | now()
 whatsapp_numbers        | updated_at              | timestamp with time zone |         | YES         | now()
 whatsapp_numbers        | status                  | character varying        |      20 | YES         | 'active'::character varying
 whatsapp_numbers        | disconnected_at         | timestamp with time zone |         | YES         | 
(309 rows)

